Year,Abalone_Species,Abalone_Landings_lbs
1973,Black,1912519
1974,Black,1145396
1975,Black,684793
1976,Black,356951
1977,Black,463301
1978,Black,420045
1979,Black,331489
1980,Black,518619
1981,Black,521007
1982,Black,633400
1983,Black,484366
1984,Black,436359
1985,Black,359898
1986,Black,267514
1987,Black,309786
1988,Black,201660
1989,Black,222671
1990,Black,94193
1991,Black,27220
1992,Black,37714
1993,Black,2031
1994,Black,0
1995,Black,0
1996,Black,0
1997,Black,0
1973,Green,156804
1974,Green,121563
1975,Green,170927
1976,Green,120489
1977,Green,97457
1978,Green,92987
1979,Green,61166
1980,Green,63234
1981,Green,64003
1982,Green,88696
1983,Green,56910
1984,Green,31946
1985,Green,24133
1986,Green,25854
1987,Green,28985
1988,Green,23521
1989,Green,20150
1990,Green,27333
1991,Green,8162
1992,Green,10304
1993,Green,10858
1994,Green,992
1995,Green,1073
1996,Green,56
1997,Green,0
1973,Pink,371352
1974,Pink,455324
1975,Pink,458235
1976,Pink,431143
1977,Pink,318494
1978,Pink,287052
1979,Pink,156491
1980,Pink,139267
1981,Pink,94257
1982,Pink,86282
1983,Pink,67239
1984,Pink,57128
1985,Pink,68731
1986,Pink,51872
1987,Pink,31597
1988,Pink,19025
1989,Pink,22554
1990,Pink,23268
1991,Pink,12883
1992,Pink,18229
1993,Pink,19932
1994,Pink,15575
1995,Pink,16398
1996,Pink,4
1997,Pink,0
1973,Red,663919
1974,Red,751060
1975,Red,742769
1976,Red,739621
1977,Red,537450
1978,Red,488800
1979,Red,439476
1980,Red,516304
1981,Red,429922
1982,Red,430902
1983,Red,230973
1984,Red,299477
1985,Red,368499
1986,Red,263070
1987,Red,391030
1988,Red,324434
1989,Red,474978
1990,Red,378914
1991,Red,330974
1992,Red,448593
1993,Red,428518
1994,Red,285969
1995,Red,244807
1996,Red,229252
1997,Red,112323
1973,While,83112
1974,While,113765
1975,While,71821
1976,While,81907
1977,While,17603
1978,While,3633
1979,While,502
1980,While,1071
1981,While,162
1982,While,907
1983,While,482
1984,While,449
1985,While,1655
1986,While,876
1987,While,2
1988,While,2
1989,While,22
1990,While,17
1991,While,3
1992,While,0
1993,While,0
1994,While,47
1995,While,37
1996,While,0
1997,While,0
